"country","col.belgium","col.britain","col.france","col.germany","col.italy","col.netherlands","col.portugal","col.spain","colstart.belgium_max","colstart.britain_max","colstart.france_max","colstart.germany_max","colstart.italy_max","colstart.netherlands_max","colstart.portugal_max","colstart.spain_max","colend.belgium_max","colend.britain_max","colend.france_max","colend.germany_max","colend.italy_max","colend.netherlands_max","colend.portugal_max","colend.spain_max","colstart.belgium_mean","colstart.britain_mean","colstart.france_mean","colstart.germany_mean","colstart.italy_mean","colstart.netherlands_mean","colstart.portugal_mean","colstart.spain_mean","colend.belgium_mean","colend.britain_mean","colend.france_mean","colend.germany_mean","colend.italy_mean","colend.netherlands_mean","colend.portugal_mean","colend.spain_mean"
"Chile",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1541,NA,NA,NA,NA,NA,NA,NA,1818,NA,NA,NA,NA,NA,NA,NA,1541,NA,NA,NA,NA,NA,NA,NA,1817
"China",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1525,NA,NA,NA,NA,NA,NA,NA,1820,NA,NA,NA,NA,NA,NA,NA,1518,NA,NA,NA,NA,NA,NA,NA,1819
"Comoros",0,0,1,0,0,0,0,0,NA,NA,1914,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,NA,NA,NA,1878,NA,NA,NA,NA,NA,NA,NA,1975,NA,NA,NA,NA,NA
"Congo - Brazzaville",0,0,1,0,0,0,0,0,NA,NA,1882,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1881,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA
"Congo - Kinshasa",1,0,0,0,0,0,0,0,1885,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1885,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA
"Costa Rica",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1524,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1516,NA,NA,NA,NA,NA,NA,NA,1821
"Côte d’Ivoire",0,0,1,0,0,0,0,0,NA,NA,1889,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1869,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA
"Croatia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cuba",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1511,NA,NA,NA,NA,NA,NA,NA,1899,NA,NA,NA,NA,NA,NA,NA,1511,NA,NA,NA,NA,NA,NA,NA,1898
"Cyprus",0,1,0,0,0,0,0,0,NA,1914,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1887,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA
"Czechia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Djibouti",0,0,1,0,0,0,0,0,NA,NA,1884,NA,NA,NA,NA,NA,NA,NA,1977,NA,NA,NA,NA,NA,NA,NA,1869,NA,NA,NA,NA,NA,NA,NA,1977,NA,NA,NA,NA,NA
"Dominica",0,1,1,0,0,0,0,0,NA,1805,1632,NA,NA,NA,NA,NA,NA,1978,1763,NA,NA,NA,NA,NA,NA,1805,1632,NA,NA,NA,NA,NA,NA,1972,1763,NA,NA,NA,NA,NA
"Dominican Republic",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1495,NA,NA,NA,NA,NA,NA,NA,1865,NA,NA,NA,NA,NA,NA,NA,1493,NA,NA,NA,NA,NA,NA,NA,1839
"Ecuador",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1535,NA,NA,NA,NA,NA,NA,NA,1829,NA,NA,NA,NA,NA,NA,NA,1534,NA,NA,NA,NA,NA,NA,NA,1823
"Egypt",0,1,0,0,0,0,0,0,NA,1882,NA,NA,NA,NA,NA,NA,NA,1935,NA,NA,NA,NA,NA,NA,NA,1882,NA,NA,NA,NA,NA,NA,NA,1926,NA,NA,NA,NA,NA,NA
"El Salvador",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1528,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1525,NA,NA,NA,NA,NA,NA,NA,1821
"Equatorial Guinea",0,1,0,0,0,0,1,1,NA,1827,NA,NA,NA,NA,1778,1858,NA,1857,NA,NA,NA,NA,1778,1968,NA,1827,NA,NA,NA,NA,1778,1858,NA,1857,NA,NA,NA,NA,1778,1968
"Eritrea",0,1,0,0,1,0,0,0,NA,1941,NA,NA,1890,NA,NA,NA,NA,1951,NA,NA,1941,NA,NA,NA,NA,1941,NA,NA,1885,NA,NA,NA,NA,1951,NA,NA,1940,NA,NA,NA
"Estonia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethiopia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiji",0,1,0,0,0,0,0,0,NA,1874,NA,NA,NA,NA,NA,NA,NA,1970,NA,NA,NA,NA,NA,NA,NA,1872,NA,NA,NA,NA,NA,NA,NA,1970,NA,NA,NA,NA,NA,NA
"Finland",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"France",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon",0,0,1,0,0,0,0,0,NA,NA,1886,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA,NA,NA,1855,NA,NA,NA,NA,NA,NA,NA,1960,NA,NA,NA,NA,NA
"Gambia",0,1,0,0,0,0,0,0,NA,1888,NA,NA,NA,NA,NA,NA,NA,1965,NA,NA,NA,NA,NA,NA,NA,1852,NA,NA,NA,NA,NA,NA,NA,1965,NA,NA,NA,NA,NA,NA
"Georgia",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ghana",0,1,0,1,0,0,1,0,NA,1874,NA,1884,NA,NA,1482,NA,NA,1957,NA,1916,NA,NA,1823,NA,NA,1874,NA,1884,NA,NA,1476,NA,NA,1957,NA,1916,NA,NA,1823,NA
"Greece",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grenada",0,1,1,0,0,0,0,0,NA,1762,1650,NA,NA,NA,NA,NA,NA,1974,1762,NA,NA,NA,NA,NA,NA,1762,1650,NA,NA,NA,NA,NA,NA,1970,1762,NA,NA,NA,NA,NA
"Guatemala",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1524,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1524,NA,NA,NA,NA,NA,NA,NA,1821
"Guinea",0,0,1,0,0,0,0,0,NA,NA,1881,NA,NA,NA,NA,NA,NA,NA,1958,NA,NA,NA,NA,NA,NA,NA,1858,NA,NA,NA,NA,NA,NA,NA,1958,NA,NA,NA,NA,NA
"Guinea-Bissau",0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,1879,NA,NA,NA,NA,NA,NA,NA,1974,NA,NA,NA,NA,NA,NA,NA,1879,NA,NA,NA,NA,NA,NA,NA,1973,NA
"Guyana",0,1,0,0,0,1,0,0,NA,1814,NA,NA,NA,1580,NA,NA,NA,1966,NA,NA,NA,1815,NA,NA,NA,1814,NA,NA,NA,1580,NA,NA,NA,1966,NA,NA,NA,1815,NA,NA
"Haiti",0,0,1,0,0,0,0,0,NA,NA,1665,NA,NA,NA,NA,NA,NA,NA,1804,NA,NA,NA,NA,NA,NA,NA,1665,NA,NA,NA,NA,NA,NA,NA,1804,NA,NA,NA,NA,NA
"Honduras",0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1524,NA,NA,NA,NA,NA,NA,NA,1821,NA,NA,NA,NA,NA,NA,NA,1524,NA,NA,NA,NA,NA,NA,NA,1821
"Hungary",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iceland",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"India",0,1,0,0,0,0,0,0,NA,1857,NA,NA,NA,NA,NA,NA,NA,1947,NA,NA,NA,NA,NA,NA,NA,1803,NA,NA,NA,NA,NA,NA,NA,1947,NA,NA,NA,NA,NA,NA
"Indonesia",0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,1623,NA,NA,NA,NA,NA,NA,NA,1962,NA,NA,NA,NA,NA,NA,NA,1621,NA,NA,NA,NA,NA,NA,NA,1952,NA,NA
"Iran",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iraq",0,1,0,0,0,0,0,0,NA,1920,NA,NA,NA,NA,NA,NA,NA,1932,NA,NA,NA,NA,NA,NA,NA,1917,NA,NA,NA,NA,NA,NA,NA,1932,NA,NA,NA,NA,NA,NA
